English,German,NepalBhasa,Nepali
paper,papier,भ्वं,कागज
money,geld,ध्यबा,पैसा
smoke,rauch,कुँ,धुवाँ
racism,rassismus,रंगभेद,नस्लवाद
daughter,tochter,म्ह्याय्,छोरी
animal,tier,पशु,जनावर
gold,Gold,लुं,सुन
grass,Gras,घाँय्,घाँस
grand mother,Großmutter,अजी,हजुरआमा
green,Grün,वांगु,हरियो
hair,haar,सं,कपाल
happy new year,Gutes neues Jahr,न्हूदँया भितुना,नयाँ बर्षको शुभकामना
library,bibliothek,सफूधुकू,पुस्तकालय
biography,biografie,जीवनी,जीवनी
biology,biologie,जीवशास्त्र,जीवविज्ञान
policy,policy,नीति,नीति
cardiology,kardiologie,हृदयशास्त्र,हृदयशास्त्र
capitalism,kapitalismus,पूंजीवाद,पुँजीवाद
welcome,willkommen,लसकुस,स्वागत छ
fire,feuer,मिँ,आगो
help,hilfe,ग्वहालि,मद्दत
love,liebe,मतिना,प्रेम
human skeleton,Menschliches Skelett,मनुया कवं ,मानव कंकाल
human,mensch,मनु,मानव
human rights,menschenrechte,मनु अधिकार,मानव अधिकार
diabetes mellitus,Diabetes mellitus,मधुमेह,मधुमेह मेलिटास
motherboard,Hauptplatine,मदरबोर्ड,मदरबोर्ड
child,kind,मचा,बालक
cat,Hauskatze,भौ,बिरालो
nepali,Nepalesisch,खेँ भाषा,नेपाली
bhaktapur,Bhaktapur,ख्वप,भक्तपुर
egg,Ei,खेँय्,अण्डा
Darkness,Dunkelheit,ख्युं,अन्धकार
bell,Glocke,गं,घण्टी
Word,Wort,खंग्वः,शब्द
dictionary,Wörterbuch,खँग्वःसफू,शब्दकोश
Comedy,Komödie,ख्यालः,कमेडी
Rope,Seil,खिपः,डोरी
Dog,Hund,खिचा,कुकुर
bitch,Hündin,खिचानी,पोथि कुकुर
Flood,Hochwasser,खुसि बाहा,बाढी
Patella,Kniescheibe,पुलिक्वँय्,-
Man,männliches,मिजं,मान्छे
Young,Junge,मिजंमचा,केटा
patience,Geduld,धैर्य,धैर्य
Festival,Festival,नख:,महोत्सव
Masculinity,Männlichkeit,मिजंपहः,पुरुषत्व
body,Körper,म्ह,शरीर
Color,Farbe,म्हासु,रङ
About one year,Ein Jahr,दख,एक वर्ष
Pity,Barmherzigkeit,दया,दया
monk,Mönch,भिछु,भिक्षु
to become better or nicer,netter werden,भिने,राम्रो बन्न
Cooked rice,Gekochter Reis,भुजा,भात
A short woman,Eine kleine Frau,भुतु,छोटो महिला
Stain / Contamination,Verunreinigung,भ्या,दाग
Silver,Silber,वह:,चाँदी
original,Original,सकल,सकल
audit,Prüfung,समा,लेखापरीक्षण
chain,Kette,सिख:,-
wife,Frau,कला,श्रीमती
group,gruppe,खल:,समूह
they,sie,इपिं,उनीहरु
Cardamom,Kardamom,एला,अलैंची
unripe,unreife,कचं,नपाकेको
shorts,kurze Hose,कतु,-
cotton,Baumwolle,कपाय्‌,कपास
wasp,Wespe,कपिं,बारुलो
shirt,hemd,कमीज,कमीज
Art,Kunst,कला,कला
water jar,Wassergefäß,करुवा,करुवा (पानीको भाँडो) 
quickly,schnell,काचाकाचा,छिटो
photo,bild,किपा,तस्बिर
elephant,Elefant,किसि,हात्ती
bad habit,schlechte angewohnheit,कुबानि,खराब बानी
umbrella,Regenschirm,कुसा,छाता
truth,Wahrheit,सत,सत्य
hundred,hundert,सछि,सय
book,Buch,सफू,पुस्तक
tease,Necken,हाय्‌के,चिढ्याउनु
blood,blut,हि,रगत
water-tap,Wasserhahn,हिति,पानीको धारा
beauty,Schönheit,हिसि,सौन्दर्य
telescope,Teleskop,लुसाः,टेलिस्कोप
gold,Gold,लुंँ,सुन
warm,warm,लुमु,न्यानो
brass,Messing,ली,पीतल
along with,gemeinsam mit,लिसे,संगै
mattress,Matratze,लासा,डसना
quantity,menge,लि,मात्रा
nearer,Näher,लिक्‍क,नजिक
to be late,zu spät kommen,लिबाक,ढिला हुनु
memorably,einprägsam,लुमं,स्मरणीय
handkerchief,taschentuch,लुमार,रुमाल
suitably,entsprechend,ल्‍वय्‌क,सुहाउने गरी
order,befehl,हुकुम,आदेश
charcoal,holzkohle,हेंग्वा,कोइला
shameless,schamlos,ह्यामि,लाजहीन
letter,buchstabe,आखः,अक्षर
ginger,Ingwer,पालु,अदुवा
request,anfrage,इनाप,अनुरोध
opposite,gegenteil,अःखः,विपरीत
medicine,medizin,वासः,औषधी
insect,insekt,की,कीरा
chicken,huhn,खा,कुखुरा
carpet,teppich,गलइँचा,गलैंचा
marijuana,marihuana,गजि,गाँजा
knot,knot,गथः,गाँठो
house,haus,छेँ,घर
chew,kauen,न्हेये,चपाउनु
chataamari,-,चतांमरि,चतांमरि
warning,warnung,न्हेसुचं,चेतावनी
root,Wurzel,हा,जरा
moustache,Schnurrbart,ग्वाय्,जुँगा
gambling,Glücksspiel,जू,जुवा
fight,kämpfen,ल्वापु,झगडा
flag,Flagge,ध्‍वाँय्,झण्डा
pair,Paar,छ्ज्वः,जोडी
scale,Waage (z.B. Balkenwaage),ताल्जु,तराजु
decade,Jahrzehnt,जुग,दशक
